RiesgoNormalizado,CiudadNormalizada,MesFecha,Sector,TrabDep,TrabInd,AccTraCal
4,6,1,17,7252,1085,9
5,6,1,1,883,88,7
5,6,1,2,376,26,0
5,6,1,3,164,1,1
5,6,1,3,1147,297,61
5,6,1,7,796,18,4
5,6,1,8,8273,186,40
5,6,1,8,1128,11,9
5,6,1,17,39,0,1
5,6,1,17,191,67,1
5,6,1,17,142,3,0
1,4,1,1,13495,9462,63
1,4,1,2,413,1293,4
1,4,1,3,50753,1007,128
1,4,1,4,37356,1469,60
1,4,1,5,30344,1974,50
1,4,1,6,5977,93,24
1,4,1,7,1288,18,3
1,4,1,8,105775,4896,136
1,4,1,9,1077,70,18
1,4,1,17,18732,1157,45
1,4,1,17,8188,663,14
1,4,1,17,2672,60,2
2,4,1,1,218,391,5
2,4,1,2,11443,254,102
2,4,1,3,26565,1041,128
2,4,1,3,38,0,2
2,4,1,5,1308,27,1
2,4,1,6,9265,120,52
2,4,1,7,21619,192,97
2,4,1,8,33037,282,192
2,4,1,8,155,0,2
2,4,1,17,2188,604,10
2,4,1,17,2847,226,12
2,4,1,17,3096,76,13
3,4,1,2,1817,37,23
3,4,1,3,13575,321,89
3,4,1,3,2051,84,3
3,4,1,4,944,85,5
3,4,1,6,1247,6,10
3,4,1,7,46452,894,274
3,4,1,8,37357,649,304
3,4,1,8,3,0,0
3,4,1,8,6,5,0
3,4,1,17,5579,122,51
3,4,1,17,42253,7634,262
3,4,1,17,6291,122,28
4,4,1,2,818,17,114
4,4,1,3,5047,144,42
4,4,1,3,5334,125,32
4,4,1,4,1303,24,13
4,4,1,7,12453,123,96
4,4,1,8,42268,81,170
4,4,1,8,204,1,0
4,4,1,8,25,0,0
4,4,1,17,527,9,0
4,4,1,17,40107,2011,257
5,4,1,1,2454,396,17
5,4,1,2,203,21,0
5,4,1,3,115,26,5
5,4,1,3,66166,1001,348
5,4,1,7,4251,119,36
5,4,1,8,14799,365,85
5,4,1,8,670,13,12
5,4,1,17,15,16,0
5,4,1,17,1317,353,6
5,4,1,17,1041,14,4
1,5,1,1,2591,140,5
1,5,1,2,70,65,0
1,5,1,3,34,77,12
1,5,1,4,3218,320,2
1,5,1,5,342,24,0
1,5,1,6,875,12,4
1,5,1,7,37,0,0
1,5,1,8,668,138,19
1,5,1,9,740,5,1
1,5,1,17,1626,128,0
1,5,1,17,1079,16,3
1,5,1,17,364,46,2
2,5,1,1,105,11,0
2,5,1,2,1682,70,405
2,5,1,3,2013,80,14
